"Symbol","signal","last_update"
"GRAB","Price moved down and 2std VOL increase",2026-05-19
"WRBY","Price moved down and 3std VOL increase",2026-05-19
"BILI","Price moved up and 3std VOL increase",2026-05-19
"KMI","Price moved up and 2std VOL increase",2026-05-19
"V","Price moved down and 2std VOL increase",2026-05-19
"TGT","Price moved up and 3std VOL increase",2026-05-19
"W","Price moved down and 2std VOL increase",2026-05-19
"UEC","Price moved down and 2std VOL increase",2026-05-19
"CVS","Price moved down and 2std VOL increase",2026-05-19
"CAVA","Price moved down and 2std VOL increase",2026-05-19
"ARQT","Price moved down and 2std VOL increase",2026-05-19
"EL","Price moved down and 2std VOL increase",2026-05-19
"GFI","Price moved down and 2std VOL increase",2026-05-19
"EMR","Price moved down and 2std VOL increase",2026-05-19
"ECL","Price moved down and 2std VOL increase",2026-05-19
"SPGI","Price moved down and 2std VOL increase",2026-05-19
"BLK","Price moved down and 2std VOL increase",2026-05-19
"VRAX","Price moved up and 3std VOL increase",2026-05-18
"RIG","Price moved up and 2std VOL increase",2026-05-18
"NEE","Price moved down and 3std VOL increase",2026-05-18
"PCG","Price moved down and 3std VOL increase",2026-05-18
"KHC","Price moved up and 2std VOL increase",2026-05-18
"M","Price moved up and 2std VOL increase",2026-05-18
"REGN","Price moved down and 3std VOL increase",2026-05-18
"CAVA","Price moved up and 2std VOL increase",2026-05-18
"NOC","Price moved up and 2std VOL increase",2026-05-18
"MSFT","Price moved up and 2std VOL increase",2026-05-15
"RIVN","Price moved down and 2std VOL increase",2026-05-15
"PATH","Price moved up and 2std VOL increase",2026-05-15
"XOM","Price moved up and 3std VOL increase",2026-05-15
"WMT","Price moved down and 3std VOL increase",2026-05-15
"FSM","Price moved down and 3std VOL increase",2026-05-15
"DXCM","Price moved up and 3std VOL increase",2026-05-15
"SG","Price moved up and 3std VOL increase",2026-05-15
"NEE","Price moved down and 2std VOL increase",2026-05-15
"JNJ","Price moved down and 3std VOL increase",2026-05-15
"GFI","Price moved down and 2std VOL increase",2026-05-15
"LRLCY","Price moved down and 2std VOL increase",2026-05-15
