"ticker","expiration","spread_type","buy_target","percent_move","width","max_loss","roi","current_overall_market_signal","run_start","runtime","num_tickers"
"NOK",2026-10-16,"call_debit","24/27","76%/98%",3,19,14.79,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-12-18,"call_debit","25/29","83%/112%",4,27,13.81,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-08-21,"call_debit","21/24","54%/76%",3,23,12.04,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-09-18,"call_debit","21/24","54%/76%",3,24,11.5,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-09-18,"call_debit","22/25","61%/83%",3,24,11.5,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-10-16,"call_debit","23/26","68%/90%",3,24,11.5,"SELL_SHORT",2026-05-20,81.48,1980
"SMCI",2026-12-18,"call_debit","64/76","92%/127%",12,97,11.37,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-12-18,"call_debit","23/26","68%/90%",3,26,10.54,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-07-17,"call_debit","18/21","32%/54%",3,27,10.11,"SELL_SHORT",2026-05-20,81.48,1980
"NOK",2026-08-21,"call_debit","20/23","46%/68%",3,27,10.11,"SELL_SHORT",2026-05-20,81.48,1980
"SMR",2026-11-20,"call_debit","20/25","91%/138%",5,45,10.11,"SELL_SHORT",2026-05-20,81.48,1980
"FIG",2026-10-16,"call_debit","40/45","78%/100%",5,46,9.87,"SELL_SHORT",2026-05-20,81.48,1980
"TSM",2026-09-18,"call_debit","550/570","37%/42%",20,185,9.81,"SELL_SHORT",2026-05-20,81.48,1980
"SMR",2026-07-17,"call_debit","15/18","43%/72%",3,28,9.71,"SELL_SHORT",2026-05-20,81.48,1980
"NVDA",2026-07-17,"call_debit","275/280","23%/25%",5,48,9.42,"SELL_SHORT",2026-05-20,81.48,1980
"MSTR",2026-07-17,"call_debit","225/240","35%/44%",15,145,9.34,"SELL_SHORT",2026-05-20,81.48,1980
"RIVN",2026-12-18,"call_debit","21/27","55%/99%",6,58,9.34,"SELL_SHORT",2026-05-20,81.48,1980
"TSLA",2026-06-05,"call_debit","460/465","11%/13%",5,49,9.2,"SELL_SHORT",2026-05-20,81.48,1980
"ASTS",2026-06-18,"call_debit","130/140","41%/52%",10,100,9,"SELL_SHORT",2026-05-20,81.48,1980
"FSLY",2026-12-18,"call_debit","30/45","74%/160%",15,150,9,"SELL_SHORT",2026-05-20,81.48,1980
"INTC",2026-07-17,"call_debit","170/180","47%/56%",10,100,9,"SELL_SHORT",2026-05-20,81.48,1980
"META",2026-09-18,"call_debit","770/800","27%/32%",30,300,9,"SELL_SHORT",2026-05-20,81.48,1980
"SMR",2026-08-21,"call_debit","17/20","62%/91%",3,30,9,"SELL_SHORT",2026-05-20,81.48,1980
"TSLA",2026-08-21,"call_debit","560/570","36%/38%",10,100,9,"SELL_SHORT",2026-05-20,81.48,1980
"TTD",2026-09-18,"call_debit","30/35","44%/68%",5,50,9,"SELL_SHORT",2026-05-20,81.48,1980
"AMZN",2026-07-17,"call_debit","305/310","15%/17%",5,51,8.8,"SELL_SHORT",2026-05-20,81.48,1980
"IREN",2026-06-18,"call_debit","70/75","35%/45%",5,51,8.8,"SELL_SHORT",2026-05-20,81.48,1980
"NVDA",2026-06-18,"call_debit","260/265","16%/18%",5,51,8.8,"SELL_SHORT",2026-05-20,81.48,1980
"META",2026-09-18,"call_debit","760/800","26%/32%",40,410,8.76,"SELL_SHORT",2026-05-20,81.48,1980
"MSTR",2026-09-18,"call_debit","260/280","56%/68%",20,205,8.76,"SELL_SHORT",2026-05-20,81.48,1980
"NKE",2026-09-18,"call_debit","55/60","26%/37%",5,52,8.62,"SELL_SHORT",2026-05-20,81.48,1980
"FCEL",2026-07-17,"call_debit","30/40","52%/103%",10,105,8.52,"SELL_SHORT",2026-05-20,81.48,1980
"MSFT",2026-08-21,"call_debit","510/520","22%/24%",10,105,8.52,"SELL_SHORT",2026-05-20,81.48,1980
"NVDA",2026-11-20,"call_debit","320/330","43%/47%",10,105,8.52,"SELL_SHORT",2026-05-20,81.48,1980
"TSLA",2026-08-21,"call_debit","550/560","33%/36%",10,105,8.52,"SELL_SHORT",2026-05-20,81.48,1980
"RBLX",2026-10-16,"call_debit","75/80","65%/76%",5,53,8.43,"SELL_SHORT",2026-05-20,81.48,1980
